candidate	original_min_eigenvalue	original_n_negative_eigenvalues	second_min_eigenvalue	second_n_negative_eigenvalues	matrix_status
PH3B0_PH002	-0.0086181401460842	36	-0.0776231898334572	143	READ_PASS_RAW_MATRIX_RETAINED
PH3B0_PH003	-0.0182136303153869	147	-0.239710683291009	407	READ_PASS_RAW_MATRIX_RETAINED
PH3B0_PH019	-0.0034481929394538	20	-0.0395257048255572	57	READ_PASS_RAW_MATRIX_RETAINED
PH3B0_PH028	-0.0125034476648826	193	-0.143421121339003	292	READ_PASS_RAW_MATRIX_RETAINED
PH3B0_PH052	-0.0134376840003656	115	-0.123636625277585	228	READ_PASS_RAW_MATRIX_RETAINED
