model	chi_square	df	CFI	SRMR	AIC	warnings	negative_residual_count	heywood_case	converged	min_standardized_loading	max_standardized_loading	latent_correlation_IBD_CM	latent_correlation_IBD_Psych	latent_correlation_CM_Psych	notes
D1_primary_IBD_equal_loading	349.530255704294	23.0	0.975791260474986	0.0496684712756783	393.530255704294		0.0	False	True	0.560921293946811	0.997963023265457	0.0150724628455293	0.147812833669203	0.306682529933776	Primary Phase 2D IBD-restricted correlated-domain model; two-indicator IBD identified by equal-loading constraint with std.lv=TRUE.
D2_CD_UC_PsA_observed	295.229073156079	20.0	0.979594696585236	0.0419855729047516	345.229073156079		0.0	False	True	0.563805411322837	0.998127597816964			0.306717161678491	Conservative comparator with CD, UC, and PsA as correlated observed immune traits.
D3_broad_immune_comparator	377.72981879679	24.0	0.973774702662663	0.06313997075417	419.72981879679	The unstandardized model produced the following warning: lavaan->lav_object_post_check():      some estimated ov variances are negative | The standardized model produced the following warning: lavaan->lav_object_post_check():      some estimated ov variances are negative	1.0	True	True	0.343780693152104	1.1259518223285			0.307176085276708	Sensitivity comparator matching the Phase 2C broad immune factor.
D4_psoriasis_sensitivity						PSORIASIS_SENSITIVITY_NO-GO		True	False						Skipped by rule because existing psoriasis sensitivity has non-positive-definite S/rg matrix and PsA-psoriasis |rg|>1.
D5_CM_Psych_reference	249.519219419189	8.0	0.97712399462289	0.0554010504553865	275.519219419189	The unstandardized model produced the following warning: lavaan->lav_object_post_check():      some estimated ov variances are negative | The standardized model produced the following warning: lavaan->lav_object_post_check():      some estimated ov variances are negative	1.0	True	True	0.559219975199102	1.00157474351264			0.306301876213282	Reference model with immune traits removed.
