pair	pair_label	domain_axis	global_rg	n_pair_hotspots	global_local_class
BMI__Anxiety	BMI-Anxiety	Cardiometabolic__Psychiatric	0.0409	5	BIDIRECTIONAL_LOCAL
BMI__MDD	BMI-MDD	Cardiometabolic__Psychiatric	0.1464	25	BIDIRECTIONAL_LOCAL
BMI__PTSD	BMI-PTSD	Cardiometabolic__Psychiatric	0.1948	3	GLOBAL_STRONG_LOCAL_PRESENT
CAD__Anxiety	CAD-Anxiety	Cardiometabolic__Psychiatric	0.2064	2	GLOBAL_STRONG_LOCAL_PRESENT
CAD__MDD	CAD-MDD	Cardiometabolic__Psychiatric	0.2519	7	GLOBAL_STRONG_LOCAL_PRESENT
CAD__PTSD	CAD-PTSD	Cardiometabolic__Psychiatric	0.2629	3	GLOBAL_STRONG_LOCAL_PRESENT
CD__Anxiety	CD-Anxiety	Immune__Psychiatric	0.1472	2	BIDIRECTIONAL_LOCAL
CD__BMI	CD-BMI	Immune__Cardiometabolic	0.0634	3	GLOBAL_WEAK_LOCAL_PRESENT
CD__CAD	CD-CAD	Immune__Cardiometabolic	0.0955	4	BIDIRECTIONAL_LOCAL
CD__MDD	CD-MDD	Immune__Psychiatric	0.1414	0	GLOBAL_WEAK_LOCAL_NULL
CD__PTSD	CD-PTSD	Immune__Psychiatric	0.1416	1	GLOBAL_STRONG_LOCAL_PRESENT
CD__T2D	CD-T2D	Immune__Cardiometabolic	0.0414	2	GLOBAL_WEAK_LOCAL_PRESENT
PsA__Anxiety	PsA-Anxiety	Immune__Psychiatric	0.0607	2	GLOBAL_WEAK_LOCAL_PRESENT
PsA__BMI	PsA-BMI	Immune__Cardiometabolic	0.1644	2	GLOBAL_STRONG_LOCAL_PRESENT
PsA__CAD	PsA-CAD	Immune__Cardiometabolic	0.1438	2	GLOBAL_STRONG_LOCAL_PRESENT
PsA__MDD	PsA-MDD	Immune__Psychiatric	0.0436	2	GLOBAL_WEAK_LOCAL_PRESENT
PsA__PTSD	PsA-PTSD	Immune__Psychiatric	0.0439	4	GLOBAL_WEAK_LOCAL_PRESENT
PsA__T2D	PsA-T2D	Immune__Cardiometabolic	0.1492	0	GLOBAL_WEAK_LOCAL_NULL
T2D__Anxiety	T2D-Anxiety	Cardiometabolic__Psychiatric	0.1147	0	GLOBAL_WEAK_LOCAL_NULL
T2D__MDD	T2D-MDD	Cardiometabolic__Psychiatric	0.1858	4	GLOBAL_STRONG_LOCAL_PRESENT
T2D__PTSD	T2D-PTSD	Cardiometabolic__Psychiatric	0.2494	1	GLOBAL_STRONG_LOCAL_PRESENT
UC__Anxiety	UC-Anxiety	Immune__Psychiatric	0.1274	0	GLOBAL_WEAK_LOCAL_NULL
UC__BMI	UC-BMI	Immune__Cardiometabolic	-0.0748	1	GLOBAL_WEAK_LOCAL_PRESENT
UC__CAD	UC-CAD	Immune__Cardiometabolic	0.0125	1	GLOBAL_WEAK_LOCAL_PRESENT
UC__MDD	UC-MDD	Immune__Psychiatric	0.0435	1	GLOBAL_WEAK_LOCAL_PRESENT
UC__PTSD	UC-PTSD	Immune__Psychiatric	0.0367	1	GLOBAL_WEAK_LOCAL_PRESENT
UC__T2D	UC-T2D	Immune__Cardiometabolic	-0.0495	3	GLOBAL_WEAK_LOCAL_PRESENT
