trait	crohns_disease	ulcerative_colitis	psoriatic_arthritis	bmi	type_2_diabetes	cad	major_depressive_disorder	anxiety_disorder	ptsd
crohns_disease	1.0	0.612377723423894	0.235780251341221	0.0634402316032817	0.0413566753715075	0.095455161569915	0.14141962145113	0.147165132441854	0.141646147120695
ulcerative_colitis	0.612377723423894	1.0	0.274037630723768	-0.0748172644184599	-0.0494732668803908	0.0125265686688352	0.0435192677058375	0.127363018940538	0.0366742037988339
psoriatic_arthritis	0.235780251341221	0.274037630723768	1.0	0.164413018641432	0.149174618834803	0.143831260936842	0.0435598764961202	0.0607417558979719	0.0438533818958036
bmi	0.0634402316032817	-0.0748172644184599	0.164413018641432	1.0	0.548726419886708	0.289898291101892	0.146414551545124	0.0409471385704156	0.194822724153128
type_2_diabetes	0.0413566753715075	-0.0494732668803908	0.149174618834803	0.548726419886708	1.0	0.39507886633114	0.1858362608118	0.114678458562757	0.249385740007868
cad	0.095455161569915	0.0125265686688352	0.143831260936842	0.289898291101892	0.39507886633114	1.0	0.251890127381841	0.206431090540702	0.262887210670433
major_depressive_disorder	0.14141962145113	0.0435192677058375	0.0435598764961202	0.146414551545124	0.1858362608118	0.251890127381841	1.0	0.900429886665399	0.930502805808699
anxiety_disorder	0.147165132441854	0.127363018940538	0.060741755897972	0.0409471385704156	0.114678458562757	0.206431090540702	0.900429886665399	1.0	0.816692543605207
ptsd	0.141646147120695	0.0366742037988339	0.0438533818958036	0.194822724153128	0.249385740007868	0.262887210670433	0.930502805808699	0.816692543605207	1.0
